"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"EPM-017";"Tähtpäevaprogrammide tellimine";"http://www.epm.ee/category/programmid/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-012";"Teadussündmustel osalemine";"http://www.epm.ee/event/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-002";"Giiditeenuse tellimine";"http://www.epm.ee/hinnakiri/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-011";"Muuseumikogude kasutamine";"http://www.epm.ee/kogud/kasutamine/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-015";"Muuseumi laudas elavate loomade külastamine";"http://www.epm.ee/kylastajale/lahtiolekuajad/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-014";"Ajutiste näituste külastamine";"http://www.epm.ee/kylastajale/naitused/ajutised-naitused/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-001";"Püsiekspositsioonide külastamine";"http://www.epm.ee/kylastajale/naitused/pusinaitused/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-003";"Haridusprogrammides osalemine";"http://www.epm.ee/kylastajale/programmid/hariduslikud-programmid/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-008";"Kursustel osalemine";"http://www.epm.ee/kylastajale/programmid/kasitookursused-taiskasvanutele/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-004";"Tähtpäevaprogrammides osalemine";"http://www.epm.ee/kylastajale/programmid/tahtpaeva-programmid/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-016";"Muuseumi poolt välja antavate trükiste tellimine";"http://www.epm.ee/muuseum/valjaanded/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-013";"Kogumistöös osalemine";"http://www.epm.ee/teadustoo/kusimustikud/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
