"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"JUM-018";"Päringu tegemine karistuse kandmise koha info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-020";"Päringu tegemine eritunnuse kaudu kinnipeetavani jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-021";"Päringu tegemine kambri ja perioodi kaudu kinnipeetavani jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-022";"Päringu tegemine kinnipeetava(te) vanglast järelvalveta väljaskäimiste info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-019";"Päringu tegemine nimeosa kaudu kinnipeetavani jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-024";"Päringu tegemine kontaktis olnud isiku ja kontakti perioodi kaudu kinnipeetavani jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-025";"Päringu tegemine perioodil vabanenud või kinnipidamisel olnud kinnipeetavate info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-026";"Päringu tegemine kinnipeetava andmete info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-023";"Päringu tegemine kinnipeetava kaudu kontaktis olnud isikuni jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-028";"Päringu tegemine kinnipeetava tööhõive info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-029";"Päringu tegemine kinnipeetava kinnipidamiselt vabanemise info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-030";"Päringu tegemine kinnipeetava karistuse lõppemise info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-031";"Päringu tegemine kinnipeetavale kohaldatud distsiplinaarkaristuste info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-032";"Päringu tegemine kinnipeetava isiklike dokumentide info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-033";"Päringu tegemine kinnipeetava fotode saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-034";"Päringu tegemine kinnipeetava suhete info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-027";"Päringu tegemine kinnipeetava põhiandmete info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
