"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"KKA-005";"Ohtlike jäätmete käitluslitsentsi väljastamine";"http://www.keskkonnaamet.ee/public/1_Ohtlike_jaatmete_litsents.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-011";"Vee erikasutusloa väljastamine";"http://www.keskkonnaamet.ee/public/10_Vee_erikasutusloa_taotlemine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-012";"Veekaitsevööndis tööde kooskõlastamine";"http://www.keskkonnaamet.ee/public/11_Veekaitsevoondis_teostatavad_tood.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-014";"Veehaarde sanitaarkaitseala vähendamise või suurendamise taotlemine";"http://www.keskkonnaamet.ee/public/12_Veehaarde_sanitaarkaitseala_vahendamine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-015";"Keskkonnakompleksloa taotlemine ning loa muutmine";"http://www.keskkonnaamet.ee/public/15_Kompleksloa_menetlemine_muutmine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-019";"Planeeringute kooskõlastamine";"http://www.keskkonnaamet.ee/public/16_planeeringute_kooskolastamine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-007";"Jäätmeloa väljastamine";"http://www.keskkonnaamet.ee/public/2_jaatmeloa_taotlemine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-020";"Maavara kaevandamise loa taotlemine";"http://www.keskkonnaamet.ee/public/21_Kaevandamisloa_taotlemine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-021";"Üldgeoloogilise uurimistöö ja geoloogilise uuringu loa taotlemine";"http://www.keskkonnaamet.ee/public/22_Uldgeoloogilise_uuringuloa.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-017";"Maavaravaru või loodusliku kivimi teisele kinnisasjale transportimise nõusoleku taotlemine";"http://www.keskkonnaamet.ee/public/23_maavaravaru_transportimise_nousoleku_taotlemine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-016";"Kaevise võõrandamise või väljaspool kinnisasja kasutamise nõusoleku taotlemine";"http://www.keskkonnaamet.ee/public/24_kaevise_teisaldamise_nousoleku_taotlemine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-022";"Loomade/lindude tekitatud kahju hüvitamise taotlemine";"http://www.keskkonnaamet.ee/public/25_Looma_linnukahju.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-006";"Jäätmeloa omamise kohustusest vabastatud isiku või tavajäätmete vedaja registreerimistõendi väljastamine";"http://www.keskkonnaamet.ee/public/3_Jaatmeloa_omamise_kohustusest_vabastatud_registreerimistoendi_taotlemine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-008";"Välisõhu saasteloa väljastamine";"http://www.keskkonnaamet.ee/public/4_Valisohu_saasteloa_teenusstandard.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-032";"Jahiulukite tehiskeskkonnas hoidmise koha registreerimine";"http://www.keskkonnaamet.ee/public/40_Jahiulukite_tehiskeskkonnas_registreerimine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-033";"Metsateatise esitamine";"http://www.keskkonnaamet.ee/public/41_Metsateatis.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-024";"Metsapuude istutusmaterjali sertifitseerimine";"http://www.keskkonnaamet.ee/public/43_Istutusmaterjali_sertifitseerimine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-025";"Metsapuude seemnepartii sertifitseerimine";"http://www.keskkonnaamet.ee/public/44_Seemnepartii_sertifitseerimine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-026";"Kiirgustegevusloa taotlemine";"http://www.keskkonnaamet.ee/public/45_Kiirgusloa_taotlemine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-027";"Kvalifitseeritud kiirguseksperdi litsentsi taotlemine";"http://www.keskkonnaamet.ee/public/46_kiirgusekspert_litsentsi_taotlemine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-028";"Kiirgustaseme mõõtmine";"http://www.keskkonnaamet.ee/public/47_Kiirgustaseme_mootmine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-029";"Kiirgustöötajate isikudooside seire";"http://www.keskkonnaamet.ee/public/48_Kiirgustootajate_isikudoos.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-030";"Kiirgusohutushinnangu osutamine";"http://www.keskkonnaamet.ee/public/49_Kiirgusohutuse_hinnang.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-009";"Lõhnaaine vähendamise tegevuskava kinnitamine";"http://www.keskkonnaamet.ee/public/5_Lohnaaine_vahendmaise_tegevuskava_kinnitamine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-031";"Radooni mõõtmine";"http://www.keskkonnaamet.ee/public/50_radooni_mootmine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-004";"FOKA registris hooldustöötajate registreerimine";"http://www.keskkonnaamet.ee/public/Teenusstandardid_2014/49._Hooldustoode_teostajate_registreerimine_FOKA.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKA-001";"FOKA registris andmete registreerimine";"http://www.keskkonnaamet.ee/teenused/valisohukaitse/fluoritud-kasvuhoonegaasid-ja-osoonikihti-kahandavad-ained/foka-register-2/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Fluoritud kasvuhoonegaase ja osoonikihti kahandavaid aineid sisaldavate seadmete ja käitlemistoimingute (FOKA) register";"vigane viide regulatsioonile"
"KKA-002";"Käitlemisloa väljastamine";"http://www.keskkonnaamet.ee/teenused/valisohukaitse/fluoritud-kasvuhoonegaasid-ja-osoonikihti-kahandavad-ained/kaitlemisload/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Käitlemisload";"vigane viide regulatsioonile"
"KKA-003";"Keskkonnatasu deklaratsiooni esitamine";"http://www.keskkonnaamet.ee/public/images/16._Keskkonnatasu_deklareerimine.pdf";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Keskkonnatasu deklaratsiooni esitamise teenusstandard";"vigane viide regulatsioonile"
"KKA-004";"FOKA registris hooldustöötajate registreerimine";"http://www.keskkonnaamet.ee/teenused/valisohukaitse/fluoritud-kasvuhoonegaasid-ja-osoonikihti-kahandavad-ained/kutsetunnistused-ja-sertifikaadid/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Pädevust tõendavad dokumendid";"vigane viide regulatsioonile"
"KKA-005";"Ohtlike jäätmete käitluslitsentsi väljastamine";"http://www.keskkonnaamet.ee/teenused/jaatmed-2/ohtlike-jaatmete-kaitluslitsents/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Ohtlike jäätmete käitluslitsents";"vigane viide regulatsioonile"
"KKA-006";"Jäätmeloa omamise kohustusest vabastatud isiku või tavajäätmete vedaja registreerimistõendi väljastamine";"http://www.keskkonnaamet.ee/teenused/jaatmed-2/registreerimistoend/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Registreerimistõend";"vigane viide regulatsioonile"
"KKA-007";"Jäätmeloa väljastamine";"http://www.keskkonnaamet.ee/teenused/jaatmed-2/jaatmeluba/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Jäätmeloa nõue";"vigane viide regulatsioonile"
"KKA-008";"Välisõhu saasteloa väljastamine";"http://www.keskkonnaamet.ee/teenused/valisohukaitse/saasteluba-ja-erisaasteluba/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Välisõhu saasteluba ja erisaasteluba";"vigane viide regulatsioonile"
"KKA-009";"Lõhnaaine vähendamise tegevuskava kinnitamine";"http://www.keskkonnaamet.ee/teenused/valisohukaitse/saasteluba-ja-erisaasteluba/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Välisõhu saasteluba ja erisaasteluba";"vigane viide regulatsioonile"
"KKA-010";"Orgaanilisi lahusteid kasutava käitise registreerimistõendi väljastamine";"http://www.keskkonnaamet.ee/teenused/valisohukaitse/orgaaniliste-lahustite-kasutaja-registreerimine/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Orgaaniliste lahustite kasutaja registreerimine";"vigane viide regulatsioonile"
"KKA-011";"Vee erikasutusloa väljastamine";"http://www.keskkonnaamet.ee/teenused/vesi-2/vee-erikasutusluba/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Vee erikasutusluba";"vigane viide regulatsioonile"
"KKA-014";"Veehaarde sanitaarkaitseala vähendamise või suurendamise taotlemine";"http://www.keskkonnaamet.ee/teenused/vesi-2/veehaarde-sanitaarkaitseala/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Veehaarde sanitaarkaitseala";"vigane viide regulatsioonile"
"KKA-015";"Keskkonnakompleksloa taotlemine ning loa muutmine";"http://www.keskkonnaamet.ee/teenused/keskkonnakorraldus-2/keskkonnakompleksluba/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Keskkonnakompleksluba";"vigane viide regulatsioonile"
"KKA-016";"Kaevise võõrandamise või väljaspool kinnisasja kasutamise nõusoleku taotlemine";"http://www.keskkonnaamet.ee/teenused/maapou-6/kaevisekatendi-voorandamine-voi-valjaspool-kinnisasja-kasutamine/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Kaevise või katendi võõrandamine või väljaspool kinnisasja kasutamine";"vigane viide regulatsioonile"
"KKA-017";"Maavaravaru või loodusliku kivimi teisele kinnisasjale transportimise nõusoleku taotlemine";"http://www.keskkonnaamet.ee/teenused/maapou-6/kaevisekatendi-voorandamine-voi-valjaspool-kinnisasja-kasutamine/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Kaevise või katendi võõrandamine või väljaspool kinnisasja kasutamine";"vigane viide regulatsioonile"
"KKA-018";"Kalastuskaardi taotlemine";"http://www.keskkonnaamet.ee/teenused/kalandus-3/kalastuskaardi-valjastamine-ja/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Kalastuskaardi taotlemine";"vigane viide regulatsioonile"
"KKA-020";"Maavara kaevandamise loa taotlemine";"http://www.keskkonnaamet.ee/teenused/maapou-6/kaevandamisluba/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Kaevandamisluba";"vigane viide regulatsioonile"
"KKA-021";"Üldgeoloogilise uurimistöö ja geoloogilise uuringu loa taotlemine";"http://www.keskkonnaamet.ee/teenused/maapou-6/uldgeoloogilise-uurimistoo-ja-geoloogilise-uuringu-luba/";"Keskkonnaamet";"Keskkonnaministeeriumi haldusala";"Üldgeoloogilise uurimistöö ja geoloogilise uuringu luba";"vigane viide regulatsioonile"
