"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"INNO-021";"Keelekümblusprogrammiga liitumine";"http://kke.innove.ee/liitumine/avalduse-vorm";"Sihtasutus Innove";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"RA-016";"Eraõiguslike isikute arhivaalide kogumine";"http://www.ra.ee/et/eraoiguslike-asutuste-arhivaalide-kogumine/";"Rahvusarhiiv";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"RA-013";"Avalike asutuste dokumentide hindamine (arhiiviväärtusliku ainese väljaselgitamine)";"http://www.ra.ee/et/hindamine/";"Rahvusarhiiv";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"RA-015";"Eraõiguslike isikute dokumentide hindamine";"http://www.ra.ee/et/hindamine/";"Rahvusarhiiv";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"RA-011";"Asutuste dokumendi- ja arhiivihaldusealane nõustamine";"http://www.ra.ee/et/noustamine/";"Rahvusarhiiv";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"RA-012";"Avalike asutuste liigitusskeemide kooskõlastamine";"http://www.ra.ee/et/uam/";"Rahvusarhiiv";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"RA-017";"Avalike asutuste tähtajaliste digitaaldokumentide säilitamine";"http://www.ra.ee/et/uam/";"Rahvusarhiiv";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"RA-014";"Avalike arhivaalide vastuvõtmine ametiasutustelt";"http://www.ra.ee/et/uam/";"Rahvusarhiiv";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"HITS-003";"Plagiaadi tuvastamine";"https://kratt.edu.ee/";"Hariduse Infotehnoloogia Sihtasutus";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"ENTK-017";"Huvikoolide toetamine";"https://www.entk.ee/varaait-vol-12";"Eesti Noorsootöö Keskus";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"ENTK-004";"Stardiplats";"https://www.stardiplats.ee/";"Eesti Noorsootöö Keskus";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"ARCH-008";"Teaduse ja kõrghariduse struktuuritoetuste vahendamine";"http://www.struktuurifondid.ee/public/Rakenduskava.pdf";"Sihtasutus Archimedes";"Haridus- ja Teadusministeeriumi haldusala";"Ühtekuuluvuspoliitika fondide rakenduskava 2014-2020 ";"vigane viide regulatsioonile"
"ETAG-002";"Teadus- ja arendustegevuse riiklike toetuste taotlemine";"http://www.ut.ee/sites/default/files/livelink_files/kehtib_alates_01.01.2014_institutsionaalse_uurimistoetuse_taotlemise_kord_2014._aastal.pdf";"Eesti Teadusagentuur";"Haridus- ja Teadusministeeriumi haldusala";"Institutsionaalse uurimistoetuse taotlemise kord 2014. aastal";"vigane viide regulatsioonile"
"HITS-003";"Plagiaadi tuvastamine";"https://kratt.edu.ee/";"Hariduse Infotehnoloogia Sihtasutus";"Haridus- ja Teadusministeeriumi haldusala";"Kratt";"vigane viide regulatsioonile"
