"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"TMM-001";"Tellimisvorm museaalidest digikoopiate valmistamiseks";"http://tmm.ee/uurijale/tellimisvorm";"Eesti Teatri- ja Muusikamuuseum";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"VENE-004";"Saali rent";"http://veneteater.ee/?page_id=2195&lang=et";"SA Vene Teater";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"EAM-005";"Haridusprogrammide tellimine";"http://www.arhitektuurimuuseum.ee/haridus/haridusprogrammid/";"Eesti Arhitektuurimuuseum";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"EAM-009";"Näituste laenutamine";"http://www.arhitektuurimuuseum.ee/naitused/naitused-laenuks/";"Eesti Arhitektuurimuuseum";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"ERM-002";"Eesti Rahva Muuseumi e-pood";"http://www.erm.ee/et/pood/avaleht";"Eesti Rahva Muuseum";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"ESM-002";"Näituseinventari laenutamine";"http://www.spordimuuseum.ee/teenused";"Eesti Spordimuuseum";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"ESM-001";"Spordiajalooliste näituste koostamine";"http://www.spordimuuseum.ee/teenused";"Eesti Spordimuuseum";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"ESM-001";"Spordiajalooliste näituste koostamine";"http://www.spordimuuseum.ee/teenused";"Eesti Spordimuuseum";"Kultuuriministeeriumi haldusala";"Eesti spordimuuseumi kodulehekülg";"vigane viide regulatsioonile"
"ESM-002";"Näituseinventari laenutamine";"http://www.spordimuuseum.ee/teenused";"Eesti Spordimuuseum";"Kultuuriministeeriumi haldusala";"Eesti spordimuuseumi kodulehekülg";"vigane viide regulatsioonile"
"TEHV-001";"Kodulehekülg";"http://www.tehvandisa.ee/tervisespordikeskus";"SA Tehvandi Spordikeskus";"Kultuuriministeeriumi haldusala";"Tehvandi spordikeskuse koduleht";"vigane viide regulatsioonile"
"TMM-001";"Tellimisvorm museaalidest digikoopiate valmistamiseks";"http://tmm.ee/uurijale/tellimisvorm";"Eesti Teatri- ja Muusikamuuseum";"Kultuuriministeeriumi haldusala";"";"vigane viide regulatsioonile"
