"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"EPM-017";"Tähtpäevaprogrammide tellimine";"http://www.epm.ee/category/programmid/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-012";"Teadussündmustel osalemine";"http://www.epm.ee/event/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-002";"Giiditeenuse tellimine";"http://www.epm.ee/hinnakiri/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-011";"Muuseumikogude kasutamine";"http://www.epm.ee/kogud/kasutamine/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-015";"Muuseumi laudas elavate loomade külastamine";"http://www.epm.ee/kylastajale/lahtiolekuajad/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-014";"Ajutiste näituste külastamine";"http://www.epm.ee/kylastajale/naitused/ajutised-naitused/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-001";"Püsiekspositsioonide külastamine";"http://www.epm.ee/kylastajale/naitused/pusinaitused/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-003";"Haridusprogrammides osalemine";"http://www.epm.ee/kylastajale/programmid/hariduslikud-programmid/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-008";"Kursustel osalemine";"http://www.epm.ee/kylastajale/programmid/kasitookursused-taiskasvanutele/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-004";"Tähtpäevaprogrammides osalemine";"http://www.epm.ee/kylastajale/programmid/tahtpaeva-programmid/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-016";"Muuseumi poolt välja antavate trükiste tellimine";"http://www.epm.ee/muuseum/valjaanded/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-013";"Kogumistöös osalemine";"http://www.epm.ee/teadustoo/kusimustikud/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-001";"Ekskursioon";"http://www.kurgja.ee/ekskursioonid.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-002";"Haridusprogramm";"http://www.kurgja.ee/haridusprogrammid.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-008";"Muuseumikogude kasutamine ja uurijate teenindamine.";"http://www.kurgja.ee/muuseumi_kogude_kasutamine_ja_uurijate_teenindamine.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-003";"Talukultuurikool";"http://www.kurgja.ee/talukultuuri_kool.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-007";"Telkimine";"http://www.kurgja.ee/telkimine_piknikud.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-006";"Toitlustamine";"http://www.kurgja.ee/toitlustamine.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-005";"Koosviibimiste korraldamine";"http://www.kurgja.ee/urituste_korraldamine.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-001";"Mahepõllumajanduslik tootmine";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"VET-010";"Majandustegevusteate/tegevusloa taotluse esitamine toidu ning toiduga kokkupuutuvate materjalide ja esemete käitlemise kohta";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"VET-005";"Majandustegevusteate esitamine sööda käitlemiseks";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"VET-004";"Veterinaararsti kutsetegevusloa taotlemine";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"VET-014";"Toidulisandi või eritoidu esmakordse turuleviimise teatise esitamine";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PRIA-006";"Noore põllumajandustootja toetuse taotlemine";"https://epria.pria.ee/epria";"Põllumajanduse Registrite ja Informatsiooni Amet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PRIA-095";"PRIA klientide võlgade/tagasinõuete  haldus";"https://epria.pria.ee/epria";"Põllumajanduse Registrite ja Informatsiooni Amet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PRIA-021";"Loomade andmete vaatamine";"https://epria.pria.ee/epria";"Põllumajanduse Registrite ja Informatsiooni Amet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-004";"Seemnete sertifitseerimine ja kontroll";"https://portaal.agri.ee/epm-portal/et/home";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-009";"Maaparanduse kooskõlastused ja tõendusdokumendid";"https://portaal.agri.ee/epm-portal/et/kliendi_valik";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-015";"Väetise tootmine ja turustamine";"https://portaal.agri.ee/epm-portal/et/kliendi_valik";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-006";"Maaparandusehitiste rajamine";"https://portaal.agri.ee/epm-portal/et/kliendi_valik";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-019";"Seemnekartuli tootmine ja turustamine";"https://portaal.agri.ee/epm-portal/et/kliendi_valik";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
