"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"LA-018";"Lennundusjulgestuse taotluse esitamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-009";"Lennundustehnilise töötaja loa taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-020";"Funktsionaalsetesse süsteemidesse tehtavatest muudatustest teatamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-022";"Lennuettevõtja sertifikaadi taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-014";"Lennundustehnika taotluste esitamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-013";"Lennunduskoolituste taotluste esitamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-010";"Kontrollpiloodi tunnistuste ja lubade taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-011";"Lennujuhi loa taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-008";"Lennumeeskonna liikmete lubade taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-012";"Tervisekontrolli taotluste esitamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-019";"Kõrgehitiste ja rajatiste kooskõlastuse taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-005";"Tagasiside Lennuametile";"http://www.ecaa.ee/index.php?id=53286";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-023";"Lennuohutust mõjutavast juhtumist teatamine";"http://www.ecaa.ee/lennuohutust-mojutavast-juhtumist-teatamine-2";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-003";"Teabenõude esitamine";"http://www.ecaa.ee/teabenoue";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-002";"Teavitus tähelepanekutest lennutegevuses";"http://www.ecaa.ee/teavitus-lennutegevuses";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"MKM-044";"Teenuste kirjeldamine teenuste kataloogis";"http://www.riigiteenused.ee/en";"Majandus- ja Kommunikatsiooniministeerium";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-051";"Ajatempliteenuse osutaja registreerimine";"http://www.tja.ee/digitaalallkiri/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-050";"Sertifitseerimisteenuse osutaja registreerimine";"http://www.tja.ee/digitaalallkiri/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-078";"Raudteerajatiste kirjaliku nõusoleku väljastamine";"http://www.tja.ee/kirjalik-nousolek";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-057";"Ohutusjuhtimise süsteemi kooskõlastamine ja kinnitamine";"http://www.tja.ee/maarused-3/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-058";"Ohutustunnistuste väljastamine";"http://www.tja.ee/ohutustunnistus/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
