"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"KKAG-019";"Meteoroloogilised sisendväljad numbrilisest ilmaprognoosimudelist tuumasaaste leviku mudelile";"ftp.keskkonnaamet.ee";"Keskkonnaagentuur";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"SIM-003";"Siseministeeriumi dokumendiregistrist andmete vaatamine";"http://adr.siseministeerium.ee/sisemin/";"Siseministeerium";"Siseministeeriumi haldusala";"pole";"vigane viide kanalile"
"RES-203";"Ehitusvaldkonna inspektori vastuvõtu broneerimine";"http://broneering.päästeamet.ee/";"Päästeamet";"Siseministeeriumi haldusala";"pole";"vigane viide kanalile"
"INNO-021";"Keelekümblusprogrammiga liitumine";"http://kke.innove.ee/liitumine/avalduse-vorm";"Sihtasutus Innove";"Haridus- ja Teadusministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKI-002";"Keskkonnaalase info edastamine Keskkonnainspektsioonile";"http://kki.ee/est/?part=html&id=24";"Keskkonnainspektsioon";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"KKI-001";"Kutselise kalapüügiga seotud info edastamine Keskkonnainspektsioonile";"http://kki.ee/est/?part=html&id=24";"Keskkonnainspektsioon";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-018";"Päringu tegemine karistuse kandmise koha info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-020";"Päringu tegemine eritunnuse kaudu kinnipeetavani jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-021";"Päringu tegemine kambri ja perioodi kaudu kinnipeetavani jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-022";"Päringu tegemine kinnipeetava(te) vanglast järelvalveta väljaskäimiste info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-019";"Päringu tegemine nimeosa kaudu kinnipeetavani jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-024";"Päringu tegemine kontaktis olnud isiku ja kontakti perioodi kaudu kinnipeetavani jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-025";"Päringu tegemine perioodil vabanenud või kinnipidamisel olnud kinnipeetavate info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-026";"Päringu tegemine kinnipeetava andmete info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-023";"Päringu tegemine kinnipeetava kaudu kontaktis olnud isikuni jõudmiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-028";"Päringu tegemine kinnipeetava tööhõive info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-029";"Päringu tegemine kinnipeetava kinnipidamiselt vabanemise info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-030";"Päringu tegemine kinnipeetava karistuse lõppemise info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-031";"Päringu tegemine kinnipeetavale kohaldatud distsiplinaarkaristuste info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-032";"Päringu tegemine kinnipeetava isiklike dokumentide info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-033";"Päringu tegemine kinnipeetava fotode saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-034";"Päringu tegemine kinnipeetava suhete info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"JUM-027";"Päringu tegemine kinnipeetava põhiandmete info saamiseks";"http://misp.rik.ee/misp2";"Justiitsministeerium";"Justiitsministeeriumi haldusala";"pole";"vigane viide kanalile"
"PÕMV-010";"Lapsendamine";"http://polva.maavalitsus.ee/lapsendamine";"Põlva Maavalitsus";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"TMV-008";"Lapsendamine";"http://tartu.maavalitsus.ee/lapsendamine";"Tartu Maavalitsus";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"TMM-001";"Tellimisvorm museaalidest digikoopiate valmistamiseks";"http://tmm.ee/uurijale/tellimisvorm";"Eesti Teatri- ja Muusikamuuseum";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"VENE-004";"Saali rent";"http://veneteater.ee/?page_id=2195&lang=et";"SA Vene Teater";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"EAM-005";"Haridusprogrammide tellimine";"http://www.arhitektuurimuuseum.ee/haridus/haridusprogrammid/";"Eesti Arhitektuurimuuseum";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"EAM-009";"Näituste laenutamine";"http://www.arhitektuurimuuseum.ee/naitused/naitused-laenuks/";"Eesti Arhitektuurimuuseum";"Kultuuriministeeriumi haldusala";"pole";"vigane viide kanalile"
"AKK-001";"Sotsiaalne rehabilitatsioon";"http://www.astangu.ee/reha/teenused/";"Astangu Kutserehabilitatsiooni Keskus";"Sotsiaalministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-018";"Lennundusjulgestuse taotluse esitamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-009";"Lennundustehnilise töötaja loa taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-020";"Funktsionaalsetesse süsteemidesse tehtavatest muudatustest teatamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-022";"Lennuettevõtja sertifikaadi taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-014";"Lennundustehnika taotluste esitamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-013";"Lennunduskoolituste taotluste esitamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-010";"Kontrollpiloodi tunnistuste ja lubade taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-011";"Lennujuhi loa taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-008";"Lennumeeskonna liikmete lubade taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-012";"Tervisekontrolli taotluste esitamine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-019";"Kõrgehitiste ja rajatiste kooskõlastuse taotlemine";"http://www.ecaa.ee/index.php?id=198932";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-005";"Tagasiside Lennuametile";"http://www.ecaa.ee/index.php?id=53286";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-023";"Lennuohutust mõjutavast juhtumist teatamine";"http://www.ecaa.ee/lennuohutust-mojutavast-juhtumist-teatamine-2";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-003";"Teabenõude esitamine";"http://www.ecaa.ee/teabenoue";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"LA-002";"Teavitus tähelepanekutest lennutegevuses";"http://www.ecaa.ee/teavitus-lennutegevuses";"Lennuamet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"mta-243";"Tolliformaalsuste ja tolliprotseduuride teostamine";"http://www.emta.ee/et/toll-kaubavahetus";"Maksu- ja Tolliamet";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-017";"Tähtpäevaprogrammide tellimine";"http://www.epm.ee/category/programmid/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-012";"Teadussündmustel osalemine";"http://www.epm.ee/event/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-002";"Giiditeenuse tellimine";"http://www.epm.ee/hinnakiri/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-011";"Muuseumikogude kasutamine";"http://www.epm.ee/kogud/kasutamine/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-015";"Muuseumi laudas elavate loomade külastamine";"http://www.epm.ee/kylastajale/lahtiolekuajad/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-014";"Ajutiste näituste külastamine";"http://www.epm.ee/kylastajale/naitused/ajutised-naitused/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-001";"Püsiekspositsioonide külastamine";"http://www.epm.ee/kylastajale/naitused/pusinaitused/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-003";"Haridusprogrammides osalemine";"http://www.epm.ee/kylastajale/programmid/hariduslikud-programmid/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-008";"Kursustel osalemine";"http://www.epm.ee/kylastajale/programmid/kasitookursused-taiskasvanutele/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-004";"Tähtpäevaprogrammides osalemine";"http://www.epm.ee/kylastajale/programmid/tahtpaeva-programmid/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-016";"Muuseumi poolt välja antavate trükiste tellimine";"http://www.epm.ee/muuseum/valjaanded/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"EPM-013";"Kogumistöös osalemine";"http://www.epm.ee/teadustoo/kusimustikud/";"Eesti Põllumajandusmuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
